,e_name,e_gu,e_address,s_name,s_gu,s_address,distance
0,강남YMCA점,강남구,서울 강남구 논현동,논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
1,강남구청역아이티웨딩점,강남구,"서울 강남구 학동로 338 (논현동, 강남파라곤)",압구정윤성빌딩,강남구,서울특별시 강남구 논현로 834 (신사동),1
2,강남논현학동점,강남구,서울 강남구 논현로131길 28 (논현동),논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
3,강남대치점,강남구,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
4,강남도산점,강남구,서울 강남구 도산대로37길 20 (신사동),신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동),1
5,강남세곡점,강남구,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈)",강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),0
6,강남율현점,강남구,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),1
7,강남자곡점,강남구,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",수서역R,강남구,서울특별시 강남구 광평로 281 (수서동),1
8,개포동역점,강남구,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1
9,건설회관점,강남구,서울 강남구 언주로 711 (논현동),논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
10,대청역점,강남구,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1
11,대치역점,강남구,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)",대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),0
12,도곡2동점,강남구,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",양재강남빌딩R,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),1
13,도산사거리점,강남구,서울 강남구 논현동 ,논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
14,삼성대치점,강남구,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1
15,삼성동점,강남구,서울 강남구 테헤란로88길 10 (대치동),대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),1
16,삼성중앙역점,강남구,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
17,삼성한전점,강남구,서울 강남구 테헤란로107길 11 (삼성동),봉은사역,강남구,서울특별시 강남구 봉은사로 619 (삼성동),1
18,선릉사거리점,강남구,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
19,선릉역점,강남구,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
20,선정릉역점,강남구,서울 강남구 봉은사로 326 (역삼동),역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
21,수서역점,강남구,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",수서역R,강남구,서울특별시 강남구 광평로 281 (수서동),0
22,신사역점,강남구,서울 강남구 압구정로2길 62 (신사동),논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
23,신사점,강남구,서울 강남구 도산대로 118 (논현동),논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),1
24,압구정로데오역점,강남구,서울 강남구 선릉로161길 20 (신사동),압구정윤성빌딩,강남구,서울특별시 강남구 논현로 834 (신사동),1
25,압구정점,강남구,서울 강남구 신사동,신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동),1
26,역삼더블루점,강남구,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
27,역삼상록점,강남구,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),0
28,역삼역점,강남구,서울 강남구 테헤란로25길 17 (역삼동),역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
29,역삼월드점,강남구,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
30,역삼점,강남구,서울 강남구 논현로72길 13 (역삼동),역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
31,역삼중앙점,강남구,서울 강남구 언주로81길 8 (역삼동),역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),0
32,역삼초교점,강남구,서울 강남구 강남대로 314 (역삼동),역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),1
